,Total_Outliers,Positive_Outliers,Negative_Outliers
2012-08-01,15,15.0,0.0
2012-09-01,11,4.0,7.0
2012-10-01,13,0.0,13.0
2012-11-01,6,0.0,6.0
2012-12-01,8,0.0,8.0
2013-03-01,3,2.0,1.0
2013-04-01,5,2.0,3.0
2013-05-01,10,5.0,5.0
2013-06-01,12,2.0,10.0
2013-07-01,14,6.0,8.0
2013-08-01,8,4.0,4.0
2013-09-01,4,2.0,2.0
2013-12-01,1,0.0,1.0
2014-03-01,1,0.0,1.0
2014-05-01,1,0.0,1.0
2014-06-01,1,0.0,1.0
2014-07-01,6,1.0,5.0
2014-09-01,3,3.0,0.0
2014-12-01,3,1.0,2.0
2015-01-01,1,1.0,0.0
2015-05-01,3,1.0,2.0
2015-07-01,1,0.0,1.0
2015-09-01,1,0.0,1.0
2015-12-01,1,1.0,0.0
2016-05-01,1,0.0,1.0
2016-07-01,4,1.0,3.0
2016-08-01,2,2.0,0.0
2016-09-01,1,0.0,1.0
2016-11-01,1,1.0,0.0
2017-05-01,1,0.0,1.0
2017-07-01,3,0.0,3.0
2017-09-01,1,0.0,1.0
