YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"AREA HARVESTED in ACRES","PRODUCTION in BU","YIELD in BU / ACRE","AREA PLANTED in ACRES","PRODUCTION in $","PRODUCTION in TONS","YIELD in TONS / ACRE","PRICE RECEIVED in $ / BU"
2000,"WEST VIRGINIA",54," "," ",YEAR,CORN," "," "," ","55,000"," "," "," "," "
2000,WISCONSIN,55," "," ",YEAR,CORN," "," "," ","3,500,000"," "," "," "," "
2000,WYOMING,56," "," ",YEAR,CORN," "," "," ","90,000"," "," "," "," "
2001,ALABAMA,01," "," ",YEAR,CORN," "," "," ","180,000"," "," "," "," "
2001,ARIZONA,04," "," ",YEAR,CORN," "," "," ","55,000"," "," "," "," "
2001,ARKANSAS,05," "," ",YEAR,CORN," "," "," ","190,000"," "," "," "," "
2001,CALIFORNIA,06," "," ",YEAR,CORN," "," "," ","480,000"," "," "," "," "
2001,COLORADO,08," "," ",YEAR,CORN," "," "," ","1,220,000"," "," "," "," "
2001,CONNECTICUT,09," "," ",YEAR,CORN," "," "," ","32,000"," "," "," "," "
2001,DELAWARE,10," "," ",YEAR,CORN," "," "," ","170,000"," "," "," "," "
2001,FLORIDA,12," "," ",YEAR,CORN," "," "," ","65,000"," "," "," "," "
2001,GEORGIA,13," "," ",YEAR,CORN," "," "," ","265,000"," "," "," "," "
2001,IDAHO,16," "," ",YEAR,CORN," "," "," ","175,000"," "," "," "," "
2001,ILLINOIS,17," "," ",YEAR,CORN," "," "," ","11,000,000"," "," "," "," "
2001,INDIANA,18," "," ",YEAR,CORN," "," "," ","5,800,000"," "," "," "," "
2001,IOWA,19," "," ",YEAR,CORN," "," "," ","11,700,000"," "," "," "," "
2001,KANSAS,20," "," ",YEAR,CORN," "," "," ","3,450,000"," "," "," "," "
2001,KENTUCKY,21," "," ",YEAR,CORN," "," "," ","1,200,000"," "," "," "," "
2001,LOUISIANA,22," "," ",YEAR,CORN," "," "," ","315,000"," "," "," "," "
2001,MAINE,23," "," ",YEAR,CORN," "," "," ","28,000"," "," "," "," "
2001,MARYLAND,24," "," ",YEAR,CORN," "," "," ","490,000"," "," "," "," "
2001,MASSACHUSETTS,25," "," ",YEAR,CORN," "," "," ","22,000"," "," "," "," "
2001,MICHIGAN,26," "," ",YEAR,CORN," "," "," ","2,200,000"," "," "," "," "
2001,MINNESOTA,27," "," ",YEAR,CORN," "," "," ","6,800,000"," "," "," "," "
2001,MISSISSIPPI,28," "," ",YEAR,CORN," "," "," ","400,000"," "," "," "," "
2001,MISSOURI,29," "," ",YEAR,CORN," "," "," ","2,700,000"," "," "," "," "
2001,MONTANA,30," "," ",YEAR,CORN," "," "," ","65,000"," "," "," "," "
2001,NEBRASKA,31," "," ",YEAR,CORN," "," "," ","8,100,000"," "," "," "," "
2001,NEVADA,32," "," ",YEAR,CORN," "," "," ","3,000"," "," "," "," "
2001,"NEW HAMPSHIRE",33," "," ",YEAR,CORN," "," "," ","15,000"," "," "," "," "
2001,"NEW JERSEY",34," "," ",YEAR,CORN," "," "," ","80,000"," "," "," "," "
2001,"NEW MEXICO",35," "," ",YEAR,CORN," "," "," ","130,000"," "," "," "," "
2001,"NEW YORK",36," "," ",YEAR,CORN," "," "," ","1,030,000"," "," "," "," "
2001,"NORTH CAROLINA",37," "," ",YEAR,CORN," "," "," ","700,000"," "," "," "," "
2001,"NORTH DAKOTA",38," "," ",YEAR,CORN," "," "," ","880,000"," "," "," "," "
2001,OHIO,39," "," ",YEAR,CORN," "," "," ","3,400,000"," "," "," "," "
2001,OKLAHOMA,40," "," ",YEAR,CORN," "," "," ","250,000"," "," "," "," "
2001,OREGON,41," "," ",YEAR,CORN," "," "," ","45,000"," "," "," "," "
2001,PENNSYLVANIA,42," "," ",YEAR,CORN," "," "," ","1,450,000"," "," "," "," "
2001,"RHODE ISLAND",44," "," ",YEAR,CORN," "," "," ","2,000"," "," "," "," "
2001,"SOUTH CAROLINA",45," "," ",YEAR,CORN," "," "," ","260,000"," "," "," "," "
2001,"SOUTH DAKOTA",46," "," ",YEAR,CORN," "," "," ","3,800,000"," "," "," "," "
2001,TENNESSEE,47," "," ",YEAR,CORN," "," "," ","680,000"," "," "," "," "
2001,TEXAS,48," "," ",YEAR,CORN," "," "," ","1,600,000"," "," "," "," "
2001,UTAH,49," "," ",YEAR,CORN," "," "," ","60,000"," "," "," "," "
2001,VERMONT,50," "," ",YEAR,CORN," "," "," ","90,000"," "," "," "," "
2001,VIRGINIA,51," "," ",YEAR,CORN," "," "," ","470,000"," "," "," "," "
2001,WASHINGTON,53," "," ",YEAR,CORN," "," "," ","115,000"," "," "," "," "
2001,"WEST VIRGINIA",54," "," ",YEAR,CORN," "," "," ","50,000"," "," "," "," "
2001,WISCONSIN,55," "," ",YEAR,CORN," "," "," ","3,400,000"," "," "," "," "
2001,WYOMING,56," "," ",YEAR,CORN," "," "," ","90,000"," "," "," "," "
2002,ALABAMA,01," "," ",YEAR,CORN," "," "," ","200,000"," "," "," "," "
2002,ARIZONA,04," "," ",YEAR,CORN," "," "," ","60,000"," "," "," "," "
2002,ARKANSAS,05," "," ",YEAR,CORN," "," "," ","265,000"," "," "," "," "
2002,CALIFORNIA,06," "," ",YEAR,CORN," "," "," ","545,000"," "," "," "," "
2002,COLORADO,08," "," ",YEAR,CORN," "," "," ","1,200,000"," "," "," "," "
2002,CONNECTICUT,09," "," ",YEAR,CORN," "," "," ","32,000"," "," "," "," "
2002,DELAWARE,10," "," ",YEAR,CORN," "," "," ","180,000"," "," "," "," "
2002,FLORIDA,12," "," ",YEAR,CORN," "," "," ","75,000"," "," "," "," "
2002,GEORGIA,13," "," ",YEAR,CORN," "," "," ","340,000"," "," "," "," "
2002,IDAHO,16," "," ",YEAR,CORN," "," "," ","190,000"," "," "," "," "
2002,ILLINOIS,17," "," ",YEAR,CORN," "," "," ","11,100,000"," "," "," "," "
2002,INDIANA,18," "," ",YEAR,CORN," "," "," ","5,400,000"," "," "," "," "
2002,IOWA,19," "," ",YEAR,CORN," "," "," ","12,200,000"," "," "," "," "
2002,KANSAS,20," "," ",YEAR,CORN," "," "," ","3,250,000"," "," "," "," "
2002,KENTUCKY,21," "," ",YEAR,CORN," "," "," ","1,160,000"," "," "," "," "
2002,LOUISIANA,22," "," ",YEAR,CORN," "," "," ","580,000"," "," "," "," "
2002,MAINE,23," "," ",YEAR,CORN," "," "," ","29,000"," "," "," "," "
2002,MARYLAND,24," "," ",YEAR,CORN," "," "," ","510,000"," "," "," "," "
2002,MASSACHUSETTS,25," "," ",YEAR,CORN," "," "," ","22,000"," "," "," "," "
2002,MICHIGAN,26," "," ",YEAR,CORN," "," "," ","2,250,000"," "," "," "," "
2002,MINNESOTA,27," "," ",YEAR,CORN," "," "," ","7,200,000"," "," "," "," "
2002,MISSISSIPPI,28," "," ",YEAR,CORN," "," "," ","550,000"," "," "," "," "
2002,MISSOURI,29," "," ",YEAR,CORN," "," "," ","2,800,000"," "," "," "," "
2002,MONTANA,30," "," ",YEAR,CORN," "," "," ","65,000"," "," "," "," "
2002,NEBRASKA,31," "," ",YEAR,CORN," "," "," ","8,400,000"," "," "," "," "
2002,NEVADA,32," "," ",YEAR,CORN," "," "," ","4,000"," "," "," "," "
2002,"NEW HAMPSHIRE",33," "," ",YEAR,CORN," "," "," ","15,000"," "," "," "," "
2002,"NEW JERSEY",34," "," ",YEAR,CORN," "," "," ","90,000"," "," "," "," "
2002,"NEW MEXICO",35," "," ",YEAR,CORN," "," "," ","140,000"," "," "," "," "
2002,"NEW YORK",36," "," ",YEAR,CORN," "," "," ","1,020,000"," "," "," "," "
2002,"NORTH CAROLINA",37," "," ",YEAR,CORN," "," "," ","780,000"," "," "," "," "
2002,"NORTH DAKOTA",38," "," ",YEAR,CORN," "," "," ","1,230,000"," "," "," "," "
2002,OHIO,39," "," ",YEAR,CORN," "," "," ","3,250,000"," "," "," "," "
2002,OKLAHOMA,40," "," ",YEAR,CORN," "," "," ","240,000"," "," "," "," "
2002,OREGON,41," "," ",YEAR,CORN," "," "," ","48,000"," "," "," "," "
2002,PENNSYLVANIA,42," "," ",YEAR,CORN," "," "," ","1,400,000"," "," "," "," "
2002,"RHODE ISLAND",44," "," ",YEAR,CORN," "," "," ","2,000"," "," "," "," "
2002,"SOUTH CAROLINA",45," "," ",YEAR,CORN," "," "," ","320,000"," "," "," "," "
2002,"SOUTH DAKOTA",46," "," ",YEAR,CORN," "," "," ","4,450,000"," "," "," "," "
2002,TENNESSEE,47," "," ",YEAR,CORN," "," "," ","690,000"," "," "," "," "
2002,TEXAS,48," "," ",YEAR,CORN," "," "," ","2,050,000"," "," "," "," "
2002,UTAH,49," "," ",YEAR,CORN," "," "," ","57,000"," "," "," "," "
2002,VERMONT,50," "," ",YEAR,CORN," "," "," ","95,000"," "," "," "," "
2002,VIRGINIA,51," "," ",YEAR,CORN," "," "," ","500,000"," "," "," "," "
2002,WASHINGTON,53," "," ",YEAR,CORN," "," "," ","130,000"," "," "," "," "
2002,"WEST VIRGINIA",54," "," ",YEAR,CORN," "," "," ","50,000"," "," "," "," "
2002,WISCONSIN,55," "," ",YEAR,CORN," "," "," ","3,650,000"," "," "," "," "
2002,WYOMING,56," "," ",YEAR,CORN," "," "," ","80,000"," "," "," "," "
2003,ALABAMA,01," "," ",YEAR,CORN," "," "," ","220,000"," "," "," "," "
2003,ARIZONA,04," "," ",YEAR,CORN," "," "," ","47,000"," "," "," "," "
2003,ARKANSAS,05," "," ",YEAR,CORN," "," "," ","365,000"," "," "," "," "
2003,CALIFORNIA,06," "," ",YEAR,CORN," "," "," ","530,000"," "," "," "," "
2003,COLORADO,08," "," ",YEAR,CORN," "," "," ","1,080,000"," "," "," "," "
2003,CONNECTICUT,09," "," ",YEAR,CORN," "," "," ","30,000"," "," "," "," "
2003,DELAWARE,10," "," ",YEAR,CORN," "," "," ","170,000"," "," "," "," "
2003,FLORIDA,12," "," ",YEAR,CORN," "," "," ","75,000"," "," "," "," "
2003,GEORGIA,13," "," ",YEAR,CORN," "," "," ","340,000"," "," "," "," "
2003,IDAHO,16," "," ",YEAR,CORN," "," "," ","190,000"," "," "," "," "
2003,ILLINOIS,17," "," ",YEAR,CORN," "," "," ","11,200,000"," "," "," "," "
2003,INDIANA,18," "," ",YEAR,CORN," "," "," ","5,600,000"," "," "," "," "
2003,IOWA,19," "," ",YEAR,CORN," "," "," ","12,300,000"," "," "," "," "
2003,KANSAS,20," "," ",YEAR,CORN," "," "," ","2,900,000"," "," "," "," "
2003,KENTUCKY,21," "," ",YEAR,CORN," "," "," ","1,170,000"," "," "," "," "
2003,LOUISIANA,22," "," ",YEAR,CORN," "," "," ","520,000"," "," "," "," "
2003,MAINE,23," "," ",YEAR,CORN," "," "," ","28,000"," "," "," "," "
2003,MARYLAND,24," "," ",YEAR,CORN," "," "," ","480,000"," "," "," "," "
2003,MASSACHUSETTS,25," "," ",YEAR,CORN," "," "," ","20,000"," "," "," "," "
2003,MICHIGAN,26," "," ",YEAR,CORN," "," "," ","2,250,000"," "," "," "," "
2003,MINNESOTA,27," "," ",YEAR,CORN," "," "," ","7,200,000"," "," "," "," "
2003,MISSISSIPPI,28," "," ",YEAR,CORN," "," "," ","550,000"," "," "," "," "
2003,MISSOURI,29," "," ",YEAR,CORN," "," "," ","2,900,000"," "," "," "," "
2003,MONTANA,30," "," ",YEAR,CORN," "," "," ","68,000"," "," "," "," "
2003,NEBRASKA,31," "," ",YEAR,CORN," "," "," ","8,100,000"," "," "," "," "
2003,NEVADA,32," "," ",YEAR,CORN," "," "," ","4,000"," "," "," "," "
2003,"NEW HAMPSHIRE",33," "," ",YEAR,CORN," "," "," ","15,000"," "," "," "," "
2003,"NEW JERSEY",34," "," ",YEAR,CORN," "," "," ","80,000"," "," "," "," "
2003,"NEW MEXICO",35," "," ",YEAR,CORN," "," "," ","130,000"," "," "," "," "
2003,"NEW YORK",36," "," ",YEAR,CORN," "," "," ","1,000,000"," "," "," "," "
2003,"NORTH CAROLINA",37," "," ",YEAR,CORN," "," "," ","740,000"," "," "," "," "
2003,"NORTH DAKOTA",38," "," ",YEAR,CORN," "," "," ","1,450,000"," "," "," "," "
2003,OHIO,39," "," ",YEAR,CORN," "," "," ","3,300,000"," "," "," "," "
2003,OKLAHOMA,40," "," ",YEAR,CORN," "," "," ","230,000"," "," "," "," "
2003,OREGON,41," "," ",YEAR,CORN," "," "," ","51,000"," "," "," "," "
2003,PENNSYLVANIA,42," "," ",YEAR,CORN," "," "," ","1,450,000"," "," "," "," "
2003,"RHODE ISLAND",44," "," ",YEAR,CORN," "," "," ","2,000"," "," "," "," "
2003,"SOUTH CAROLINA",45," "," ",YEAR,CORN," "," "," ","240,000"," "," "," "," "
2003,"SOUTH DAKOTA",46," "," ",YEAR,CORN," "," "," ","4,400,000"," "," "," "," "
2003,TENNESSEE,47," "," ",YEAR,CORN," "," "," ","710,000"," "," "," "," "
2003,TEXAS,48," "," ",YEAR,CORN," "," "," ","1,830,000"," "," "," "," "
2003,UTAH,49," "," ",YEAR,CORN," "," "," ","55,000"," "," "," "," "
2003,VERMONT,50," "," ",YEAR,CORN," "," "," ","100,000"," "," "," "," "
2003,VIRGINIA,51," "," ",YEAR,CORN," "," "," ","470,000"," "," "," "," "
2003,WASHINGTON,53," "," ",YEAR,CORN," "," "," ","130,000"," "," "," "," "
2003,"WEST VIRGINIA",54," "," ",YEAR,CORN," "," "," ","48,000"," "," "," "," "
2003,WISCONSIN,55," "," ",YEAR,CORN," "," "," ","3,750,000"," "," "," "," "
2003,WYOMING,56," "," ",YEAR,CORN," "," "," ","85,000"," "," "," "," "
2004,ALABAMA,01," "," ",YEAR,CORN," "," "," ","220,000"," "," "," "," "
2004,ARIZONA,04," "," ",YEAR,CORN," "," "," ","53,000"," "," "," "," "
2004,ARKANSAS,05," "," ",YEAR,CORN," "," "," ","320,000"," "," "," "," "
2004,CALIFORNIA,06," "," ",YEAR,CORN," "," "," ","540,000"," "," "," "," "
2004,COLORADO,08," "," ",YEAR,CORN," "," "," ","1,200,000"," "," "," "," "
2004,CONNECTICUT,09," "," ",YEAR,CORN," "," "," ","30,000"," "," "," "," "
2004,DELAWARE,10," "," ",YEAR,CORN," "," "," ","160,000"," "," "," "," "
2004,FLORIDA,12," "," ",YEAR,CORN," "," "," ","70,000"," "," "," "," "
2004,GEORGIA,13," "," ",YEAR,CORN," "," "," ","335,000"," "," "," "," "
2004,IDAHO,16," "," ",YEAR,CORN," "," "," ","230,000"," "," "," "," "
2004,ILLINOIS,17," "," ",YEAR,CORN," "," "," ","11,750,000"," "," "," "," "
2004,INDIANA,18," "," ",YEAR,CORN," "," "," ","5,700,000"," "," "," "," "
2004,IOWA,19," "," ",YEAR,CORN," "," "," ","12,700,000"," "," "," "," "
2004,KANSAS,20," "," ",YEAR,CORN," "," "," ","3,100,000"," "," "," "," "
2004,KENTUCKY,21," "," ",YEAR,CORN," "," "," ","1,210,000"," "," "," "," "
2004,LOUISIANA,22," "," ",YEAR,CORN," "," "," ","420,000"," "," "," "," "
2004,MAINE,23," "," ",YEAR,CORN," "," "," ","28,000"," "," "," "," "
2004,MARYLAND,24," "," ",YEAR,CORN," "," "," ","490,000"," "," "," "," "
2004,MASSACHUSETTS,25," "," ",YEAR,CORN," "," "," ","20,000"," "," "," "," "
2004,MICHIGAN,26," "," ",YEAR,CORN," "," "," ","2,200,000"," "," "," "," "
2004,MINNESOTA,27," "," ",YEAR,CORN," "," "," ","7,500,000"," "," "," "," "
2004,MISSISSIPPI,28," "," ",YEAR,CORN," "," "," ","460,000"," "," "," "," "
2004,MISSOURI,29," "," ",YEAR,CORN," "," "," ","2,950,000"," "," "," "," "
2004,MONTANA,30," "," ",YEAR,CORN," "," "," ","70,000"," "," "," "," "
2004,NEBRASKA,31," "," ",YEAR,CORN," "," "," ","8,250,000"," "," "," "," "
2004,NEVADA,32," "," ",YEAR,CORN," "," "," ","4,000"," "," "," "," "
2004,"NEW HAMPSHIRE",33," "," ",YEAR,CORN," "," "," ","15,000"," "," "," "," "
2004,"NEW JERSEY",34," "," ",YEAR,CORN," "," "," ","86,000"," "," "," "," "
2004,"NEW MEXICO",35," "," ",YEAR,CORN," "," "," ","125,000"," "," "," "," "
2004,"NEW YORK",36," "," ",YEAR,CORN," "," "," ","980,000"," "," "," "," "
2004,"NORTH CAROLINA",37," "," ",YEAR,CORN," "," "," ","820,000"," "," "," "," "
2004,"NORTH DAKOTA",38," "," ",YEAR,CORN," "," "," ","1,800,000"," "," "," "," "
2004,OHIO,39," "," ",YEAR,CORN," "," "," ","3,350,000"," "," "," "," "
2004,OKLAHOMA,40," "," ",YEAR,CORN," "," "," ","250,000"," "," "," "," "
2004,OREGON,41," "," ",YEAR,CORN," "," "," ","58,000"," "," "," "," "
2004,PENNSYLVANIA,42," "," ",YEAR,CORN," "," "," ","1,400,000"," "," "," "," "
2004,"RHODE ISLAND",44," "," ",YEAR,CORN," "," "," ","2,000"," "," "," "," "
2004,"SOUTH CAROLINA",45," "," ",YEAR,CORN," "," "," ","315,000"," "," "," "," "
2004,"SOUTH DAKOTA",46," "," ",YEAR,CORN," "," "," ","4,650,000"," "," "," "," "
2004,TENNESSEE,47," "," ",YEAR,CORN," "," "," ","680,000"," "," "," "," "
2004,TEXAS,48," "," ",YEAR,CORN," "," "," ","1,830,000"," "," "," "," "
2004,UTAH,49," "," ",YEAR,CORN," "," "," ","55,000"," "," "," "," "
2004,VERMONT,50," "," ",YEAR,CORN," "," "," ","95,000"," "," "," "," "
2004,VIRGINIA,51," "," ",YEAR,CORN," "," "," ","500,000"," "," "," "," "
2004,WASHINGTON,53," "," ",YEAR,CORN," "," "," ","170,000"," "," "," "," "
2004,"WEST VIRGINIA",54," "," ",YEAR,CORN," "," "," ","48,000"," "," "," "," "
2004,WISCONSIN,55," "," ",YEAR,CORN," "," "," ","3,600,000"," "," "," "," "
2004,WYOMING,56," "," ",YEAR,CORN," "," "," ","90,000"," "," "," "," "
2005,ALABAMA,01," "," ",YEAR,CORN," "," "," ","220,000"," "," "," "," "
2005,ARIZONA,04," "," ",YEAR,CORN," "," "," ","50,000"," "," "," "," "
2005,ARKANSAS,05," "," ",YEAR,CORN," "," "," ","240,000"," "," "," "," "
2005,CALIFORNIA,06," "," ",YEAR,CORN," "," "," ","560,000"," "," "," "," "
2005,COLORADO,08," "," ",YEAR,CORN," "," "," ","1,100,000"," "," "," "," "
2005,CONNECTICUT,09," "," ",YEAR,CORN," "," "," ","28,000"," "," "," "," "
2005,DELAWARE,10," "," ",YEAR,CORN," "," "," ","160,000"," "," "," "," "
2005,FLORIDA,12," "," ",YEAR,CORN," "," "," ","65,000"," "," "," "," "
2005,GEORGIA,13," "," ",YEAR,CORN," "," "," ","270,000"," "," "," "," "
2005,IDAHO,16," "," ",YEAR,CORN," "," "," ","235,000"," "," "," "," "
2005,ILLINOIS,17," "," ",YEAR,CORN," "," "," ","12,100,000"," "," "," "," "
2005,INDIANA,18," "," ",YEAR,CORN," "," "," ","5,900,000"," "," "," "," "
2005,IOWA,19," "," ",YEAR,CORN," "," "," ","12,800,000"," "," "," "," "
2005,KANSAS,20," "," ",YEAR,CORN," "," "," ","3,650,000"," "," "," "," "
2005,KENTUCKY,21," "," ",YEAR,CORN," "," "," ","1,250,000"," "," "," "," "
2005,LOUISIANA,22," "," ",YEAR,CORN," "," "," ","340,000"," "," "," "," "
2005,MAINE,23," "," ",YEAR,CORN," "," "," ","26,000"," "," "," "," "
2005,MARYLAND,24," "," ",YEAR,CORN," "," "," ","470,000"," "," "," "," "
2005,MASSACHUSETTS,25," "," ",YEAR,CORN," "," "," ","20,000"," "," "," "," "
2005,MICHIGAN,26," "," ",YEAR,CORN," "," "," ","2,250,000"," "," "," "," "
2005,MINNESOTA,27," "," ",YEAR,CORN," "," "," ","7,300,000"," "," "," "," "
2005,MISSISSIPPI,28," "," ",YEAR,CORN," "," "," ","380,000"," "," "," "," "
2005,MISSOURI,29," "," ",YEAR,CORN," "," "," ","3,100,000"," "," "," "," "
2005,MONTANA,30," "," ",YEAR,CORN," "," "," ","65,000"," "," "," "," "
2005,NEBRASKA,31," "," ",YEAR,CORN," "," "," ","8,500,000"," "," "," "," "
2005,NEVADA,32," "," ",YEAR,CORN," "," "," ","5,000"," "," "," "," "
2005,"NEW HAMPSHIRE",33," "," ",YEAR,CORN," "," "," ","15,000"," "," "," "," "
2005,"NEW JERSEY",34," "," ",YEAR,CORN," "," "," ","80,000"," "," "," "," "
2005,"NEW MEXICO",35," "," ",YEAR,CORN," "," "," ","140,000"," "," "," "," "
2005,"NEW YORK",36," "," ",YEAR,CORN," "," "," ","990,000"," "," "," "," "
2005,"NORTH CAROLINA",37," "," ",YEAR,CORN," "," "," ","750,000"," "," "," "," "
2005,"NORTH DAKOTA",38," "," ",YEAR,CORN," "," "," ","1,410,000"," "," "," "," "
2005,OHIO,39," "," ",YEAR,CORN," "," "," ","3,450,000"," "," "," "," "
2005,OKLAHOMA,40," "," ",YEAR,CORN," "," "," ","290,000"," "," "," "," "
2005,OREGON,41," "," ",YEAR,CORN," "," "," ","53,000"," "," "," "," "
2005,PENNSYLVANIA,42," "," ",YEAR,CORN," "," "," ","1,350,000"," "," "," "," "
2005,"RHODE ISLAND",44," "," ",YEAR,CORN," "," "," ","2,000"," "," "," "," "
2005,"SOUTH CAROLINA",45," "," ",YEAR,CORN," "," "," ","300,000"," "," "," "," "
2005,"SOUTH DAKOTA",46," "," ",YEAR,CORN," "," "," ","4,450,000"," "," "," "," "
2005,TENNESSEE,47," "," ",YEAR,CORN," "," "," ","650,000"," "," "," "," "
2005,TEXAS,48," "," ",YEAR,CORN," "," "," ","2,050,000"," "," "," "," "
2005,UTAH,49," "," ",YEAR,CORN," "," "," ","55,000"," "," "," "," "
2005,VERMONT,50," "," ",YEAR,CORN," "," "," ","95,000"," "," "," "," "
2005,VIRGINIA,51," "," ",YEAR,CORN," "," "," ","490,000"," "," "," "," "
2005,WASHINGTON,53," "," ",YEAR,CORN," "," "," ","150,000"," "," "," "," "
2005,"WEST VIRGINIA",54," "," ",YEAR,CORN," "," "," ","45,000"," "," "," "," "
2005,WISCONSIN,55," "," ",YEAR,CORN," "," "," ","3,800,000"," "," "," "," "
2005,WYOMING,56," "," ",YEAR,CORN," "," "," ","80,000"," "," "," "," "
2006,ALABAMA,01," "," ",YEAR,CORN," "," "," ","200,000"," "," "," "," "
2006,ARIZONA,04," "," ",YEAR,CORN," "," "," ","50,000"," "," "," "," "
2006,ARKANSAS,05," "," ",YEAR,CORN," "," "," ","190,000"," "," "," "," "
2006,CALIFORNIA,06," "," ",YEAR,CORN," "," "," ","520,000"," "," "," "," "
2006,COLORADO,08," "," ",YEAR,CORN," "," "," ","1,000,000"," "," "," "," "
2006,CONNECTICUT,09," "," ",YEAR,CORN," "," "," ","27,000"," "," "," "," "
2006,DELAWARE,10," "," ",YEAR,CORN," "," "," ","170,000"," "," "," "," "
2006,FLORIDA,12," "," ",YEAR,CORN," "," "," ","60,000"," "," "," "," "
2006,GEORGIA,13," "," ",YEAR,CORN," "," "," ","280,000"," "," "," "," "
2006,IDAHO,16," "," ",YEAR,CORN," "," "," ","270,000"," "," "," "," "
